img1,img2,label
normalized_images/Ganzin_J7EF_Gaze/Gaze_001_L_view_3_1_normalized.png,normalized_images/Ganzin_J7EF_Gaze/Gaze_001_L_view_3_9_normalized.png,0
normalized_images/Ganzin_J7EF_Gaze/Gaze_001_L_view_3_2_normalized.png,normalized_images/Ganzin_J7EF_Gaze/Gaze_001_L_view_3_9_normalized.png,0
normalized_images/Ganzin_J7EF_Gaze/Gaze_001_L_view_3_10_normalized.png,normalized_images/Ganzin_J7EF_Gaze/Gaze_001_L_view_3_7_normalized.png,0
normalized_images/Ganzin_J7EF_Gaze/Gaze_001_L_view_3_10_normalized.png,normalized_images/Ganzin_J7EF_Gaze/Gaze_001_L_view_3_5_normalized.png,0
normalized_images/Ganzin_J7EF_Gaze/Gaze_001_L_view_3_3_normalized.png,normalized_images/Ganzin_J7EF_Gaze/Gaze_001_L_view_3_5_normalized.png,0
normalized_images/Ganzin_J7EF_Gaze/Gaze_001_L_view_3_4_normalized.png,normalized_images/Ganzin_J7EF_Gaze/Gaze_001_L_view_3_7_normalized.png,0
normalized_images/Ganzin_J7EF_Gaze/Gaze_001_L_view_3_1_normalized.png,normalized_images/Ganzin_J7EF_Gaze/Gaze_001_L_view_3_3_normalized.png,0
normalized_images/Ganzin_J7EF_Gaze/Gaze_001_L_view_3_2_normalized.png,normalized_images/Ganzin_J7EF_Gaze/Gaze_001_L_view_3_4_normalized.png,0
normalized_images/Ganzin_J7EF_Gaze/Gaze_001_L_view_3_4_normalized.png,normalized_images/Ganzin_J7EF_Gaze/Gaze_001_L_view_3_8_normalized.png,0
normalized_images/Ganzin_J7EF_Gaze/Gaze_001_L_view_3_10_normalized.png,normalized_images/Ganzin_J7EF_Gaze/Gaze_001_L_view_3_3_normalized.png,0
normalized_images/Ganzin_J7EF_Gaze/Gaze_001_L_view_3_1_normalized.png,normalized_images/Ganzin_J7EF_Gaze/Gaze_001_L_view_3_6_normalized.png,0
