img1,img2,label
normalized_images/CASIA_Iris_Thousand/Thousand_000_L_S5000L03_normalized.png,normalized_images/CASIA_Iris_Thousand/Thousand_000_L_S5000L06_normalized.png,0
normalized_images/CASIA_Iris_Thousand/Thousand_000_L_S5000L00_normalized.png,normalized_images/CASIA_Iris_Thousand/Thousand_000_L_S5000L09_normalized.png,0
normalized_images/CASIA_Iris_Thousand/Thousand_000_L_S5000L01_normalized.png,normalized_images/CASIA_Iris_Thousand/Thousand_000_L_S5000L06_normalized.png,0
normalized_images/CASIA_Iris_Thousand/Thousand_000_L_S5000L00_normalized.png,normalized_images/CASIA_Iris_Thousand/Thousand_000_L_S5000L06_normalized.png,0
normalized_images/CASIA_Iris_Thousand/Thousand_000_L_S5000L02_normalized.png,normalized_images/CASIA_Iris_Thousand/Thousand_000_L_S5000L04_normalized.png,0
normalized_images/CASIA_Iris_Thousand/Thousand_000_L_S5000L03_normalized.png,normalized_images/CASIA_Iris_Thousand/Thousand_000_L_S5000L09_normalized.png,0
normalized_images/CASIA_Iris_Thousand/Thousand_000_L_S5000L00_normalized.png,normalized_images/CASIA_Iris_Thousand/Thousand_000_L_S5000L02_normalized.png,0
normalized_images/CASIA_Iris_Thousand/Thousand_000_L_S5000L08_normalized.png,normalized_images/CASIA_Iris_Thousand/Thousand_000_L_S5000L09_normalized.png,0
normalized_images/CASIA_Iris_Thousand/Thousand_000_L_S5000L01_normalized.png,normalized_images/CASIA_Iris_Thousand/Thousand_000_L_S5000L09_normalized.png,0
normalized_images/CASIA_Iris_Thousand/Thousand_000_L_S5000L04_normalized.png,normalized_images/CASIA_Iris_Thousand/Thousand_000_L_S5000L08_normalized.png,0
normalized_images/CASIA_Iris_Thousand/Thousand_000_L_S5000L06_normalized.png,normalized_images/CASIA_Iris_Thousand/Thousand_182_R_S5182R02_normalized.png,1
normalized_images/CASIA_Iris_Thousand/Thousand_000_L_S5000L03_normalized.png,normalized_images/CASIA_Iris_Thousand/Thousand_172_L_S5172L04_normalized.png,1
normalized_images/CASIA_Iris_Thousand/Thousand_000_L_S5000L09_normalized.png,normalized_images/CASIA_Iris_Thousand/Thousand_133_L_S5133L06_normalized.png,1
normalized_images/CASIA_Iris_Thousand/Thousand_000_L_S5000L05_normalized.png,normalized_images/CASIA_Iris_Thousand/Thousand_063_R_S5063R07_normalized.png,1
normalized_images/CASIA_Iris_Thousand/Thousand_000_L_S5000L06_normalized.png,normalized_images/CASIA_Iris_Thousand/Thousand_097_R_S5097R02_normalized.png,1
normalized_images/CASIA_Iris_Thousand/Thousand_000_L_S5000L04_normalized.png,normalized_images/CASIA_Iris_Thousand/Thousand_032_L_S5032L00_normalized.png,1
normalized_images/CASIA_Iris_Thousand/Thousand_000_L_S5000L01_normalized.png,normalized_images/CASIA_Iris_Thousand/Thousand_173_R_S5173R06_normalized.png,1
normalized_images/CASIA_Iris_Thousand/Thousand_000_L_S5000L06_normalized.png,normalized_images/CASIA_Iris_Thousand/Thousand_022_L_S5022L02_normalized.png,1
normalized_images/CASIA_Iris_Thousand/Thousand_000_L_S5000L05_normalized.png,normalized_images/CASIA_Iris_Thousand/Thousand_164_R_S5164R01_normalized.png,1
normalized_images/CASIA_Iris_Thousand/Thousand_000_L_S5000L09_normalized.png,normalized_images/CASIA_Iris_Thousand/Thousand_046_R_S5046R06_normalized.png,1
normalized_images/CASIA_Iris_Thousand/Thousand_000_L_S5000L00_normalized.png,normalized_images/CASIA_Iris_Thousand/Thousand_129_L_S5129L08_normalized.png,1
normalized_images/CASIA_Iris_Thousand/Thousand_000_L_S5000L09_normalized.png,normalized_images/CASIA_Iris_Thousand/Thousand_035_L_S5035L06_normalized.png,1
normalized_images/CASIA_Iris_Thousand/Thousand_000_L_S5000L02_normalized.png,normalized_images/CASIA_Iris_Thousand/Thousand_182_R_S5182R05_normalized.png,1
normalized_images/CASIA_Iris_Thousand/Thousand_000_L_S5000L03_normalized.png,normalized_images/CASIA_Iris_Thousand/Thousand_037_L_S5037L07_normalized.png,1
normalized_images/CASIA_Iris_Thousand/Thousand_000_L_S5000L07_normalized.png,normalized_images/CASIA_Iris_Thousand/Thousand_156_L_S5156L02_normalized.png,1
normalized_images/CASIA_Iris_Thousand/Thousand_000_L_S5000L09_normalized.png,normalized_images/CASIA_Iris_Thousand/Thousand_022_L_S5022L00_normalized.png,1
normalized_images/CASIA_Iris_Thousand/Thousand_000_L_S5000L06_normalized.png,normalized_images/CASIA_Iris_Thousand/Thousand_110_L_S5110L07_normalized.png,1
normalized_images/CASIA_Iris_Thousand/Thousand_000_L_S5000L05_normalized.png,normalized_images/CASIA_Iris_Thousand/Thousand_093_R_S5093R04_normalized.png,1
normalized_images/CASIA_Iris_Thousand/Thousand_000_L_S5000L04_normalized.png,normalized_images/CASIA_Iris_Thousand/Thousand_134_L_S5134L03_normalized.png,1
normalized_images/CASIA_Iris_Thousand/Thousand_000_L_S5000L07_normalized.png,normalized_images/CASIA_Iris_Thousand/Thousand_173_L_S5173L09_normalized.png,1
